time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.138183423562677543e+00,0.000000000000000000e+00,3.138183423562677543e+00,9.987864920213245234e-01
1.000000000000000021e-03,9.983689088813669343e+00,9.862733855774521885e+00,9.955309258905796810e+01,3.136445670634378846e+00,-3.111884513038122579e-02,3.136600042619936524e+00,9.987864922145529567e-01
2.000000000000000042e-03,9.973710389905887652e+00,9.852996825586274099e+00,9.935418537739704448e+01,3.134371709236576375e+00,-6.217155702639082931e-02,3.134988247851290488e+00,9.987864922145802682e-01
3.000000000000000062e-03,9.963741664709305113e+00,9.843269286252095185e+00,9.915567558260694625e+01,3.131963064545814301e+00,-9.315431767654773487e-02,3.133348107788375358e+00,9.987864922145804902e-01
4.000000000000000083e-03,9.953782903255220305e+00,9.833551228770687658e+00,9.895756241065139136e+01,3.129221337797045255e+00,-1.240633474036415690e-01,3.131679724220425953e+00,9.987864922145802682e-01
5.000000000000000104e-03,9.943834095584865196e+00,9.823842644146196790e+00,9.875984506907741434e+01,3.126148172867210917e+00,-1.548948980702852529e-01,3.129983199342962763e+00,9.987864922145803792e-01
6.000000000000000125e-03,9.933895231749438892e+00,9.814143523390640667e+00,9.856252276701543735e+01,3.122745255779781903e+00,-1.856452535936599091e-01,3.128258635835117651e+00,9.987864922145801572e-01
7.000000000000000146e-03,9.923966301810066781e+00,9.804453857524208615e+00,9.836559471517591646e+01,3.119014314122805498e+00,-2.163107303884894972e-01,3.126506136853749673e+00,9.987864922145807123e-01
8.000000000000000167e-03,9.914047295837828955e+00,9.794773637574905933e+00,9.816906012584644259e+01,3.114957116466666953e+00,-2.468876777970196168e-01,3.124725806030721031e+00,9.987864922145804902e-01
9.000000000000001055e-03,9.904138203913714023e+00,9.785102854578880738e+00,9.797291821288833091e+01,3.110575471773309619e+00,-2.773724785116579716e-01,3.122917747465252969e+00,9.987864922145798241e-01
1.000000000000000021e-02,9.894239016128622666e+00,9.775441499580423965e+00,9.777716819173369345e+01,3.105871228804176098e+00,-3.077615489881623811e-01,3.121082065718419507e+00,9.987864922145801572e-01
1.099999999999999936e-02,9.884349722583378295e+00,9.765789563631528836e+00,9.758180927938225580e+01,3.100846275524411055e+00,-3.380513398476085452e-01,3.119218865807010577e+00,9.987864922145798241e-01
1.200000000000000025e-02,9.874470313388671983e+00,9.756147037792459287e+00,9.738684069439796076e+01,3.095502538504494083e+00,-3.682383362687971506e-01,3.117328253197885424e+00,9.987864922145802682e-01
1.300000000000000114e-02,9.864600778665105096e+00,9.746513913131238382e+00,9.719226165690632513e+01,3.089841982318672464e+00,-3.983190583705608634e-01,3.115410333801984510e+00,9.987864922145804902e-01
1.400000000000000029e-02,9.854741108543144890e+00,9.736890180723918320e+00,9.699807138859094380e+01,3.083866608940914134e+00,-4.282900615840176117e-01,3.113465213968573675e+00,9.987864922145797131e-01
1.499999999999999944e-02,9.844891293163106738e+00,9.727275831654736749e+00,9.680426911269037760e+01,3.077578457138203216e+00,-4.581479370148723307e-01,3.111493000479375493e+00,9.987864922145800461e-01
1.600000000000000033e-02,9.835051322675184338e+00,9.717670857015662023e+00,9.661085405399536796e+01,3.070979601861506314e+00,-4.878893117956833447e-01,3.109493800542769915e+00,9.987864922145801572e-01
1.700000000000000122e-02,9.825221187239407072e+00,9.708075247906677419e+00,9.641782543884541212e+01,3.064072153634469942e+00,-5.175108494281774885e-01,3.107467721787959380e+00,9.987864922145798241e-01
1.800000000000000211e-02,9.815400877025632909e+00,9.698488995435852189e+00,9.622518249512577881e+01,3.056858257940080925e+00,-5.470092501155964237e-01,3.105414872259179226e+00,9.987864922145802682e-01
1.899999999999999953e-02,9.805590382213555500e+00,9.688912090718986292e+00,9.603292445226441032e+01,3.049340094605384355e+00,-5.763812510851065163e-01,3.103335360409893884e+00,9.987864922145802682e-01
2.000000000000000042e-02,9.795789692992677544e+00,9.679344524879979872e+00,9.584105054122888134e+01,3.041519877184492238e+00,-6.056236269002974737e-01,3.101229295097065020e+00,9.987864922145800461e-01
2.100000000000000130e-02,9.785998799562307227e+00,9.669786289050676942e+00,9.564955999452328683e+01,3.033399852339740743e+00,-6.347331897637528142e-01,3.099096785575182533e+00,9.987864922145799351e-01
2.199999999999999872e-02,9.776217692131549342e+00,9.660237374370865382e+00,9.545845204618522928e+01,3.024982299221748328e+00,-6.637067898097949170e-01,3.096937941490677915e+00,9.987864922145806013e-01
2.299999999999999961e-02,9.766446360919301739e+00,9.650697771988035356e+00,9.526772593178260706e+01,3.016269528848111392e+00,-6.925413153874062644e-01,3.094752872876302074e+00,9.987864922145802682e-01
2.400000000000000050e-02,9.756684796154232231e+00,9.641167473057848269e+00,9.507738088841077229e+01,3.007263883480403521e+00,-7.212336933332468281e-01,3.092541690144977373e+00,9.987864922145797131e-01
2.500000000000000139e-02,9.746932988074767934e+00,9.631646468743895184e+00,9.488741615468926227e+01,2.997967736000807459e+00,-7.497808892349636656e-01,3.090304504084310899e+00,9.987864922145800461e-01
2.600000000000000228e-02,9.737190926929102375e+00,9.622134750217526289e+00,9.469783097075885792e+01,2.988383489287760320e+00,-7.781799076848092689e-01,3.088041425851024702e+00,9.987864922145802682e-01
2.699999999999999969e-02,9.727458602975179502e+00,9.612632308657950375e+00,9.450862457827859942e+01,2.978513575590237217e+00,-8.064277925233742650e-01,3.085752566964736765e+00,9.987864922145797131e-01
2.800000000000000058e-02,9.717736006480668820e+00,9.603139135252504843e+00,9.431979622042270250e+01,2.968360455902593120e+00,-8.345216270738775588e-01,3.083438039302927258e+00,9.987864922145797131e-01
2.900000000000000147e-02,9.708023127722972490e+00,9.593655221196229377e+00,9.413134514187738944e+01,2.957926619337729601e+00,-8.624585343666495429e-01,3.081097955094676877e+00,9.987864922145796021e-01
2.999999999999999889e-02,9.698319956989212898e+00,9.584180557692178581e+00,9.394327058883821735e+01,2.947214582500848223e+00,-8.902356773540611723e-01,3.078732426915287146e+00,9.987864922145801572e-01
3.099999999999999978e-02,9.688626484576221998e+00,9.574715135951052503e+00,9.375557180900663923e+01,2.936226888862588869e+00,-9.178502591160080382e-01,3.076341567680513478e+00,9.987864922145797131e-01
3.200000000000000067e-02,9.678942700790521769e+00,9.565258947191708216e+00,9.356824805158730385e+01,2.924966108132312836e+00,-9.452995230557622586e-01,3.073925490640939451e+00,9.987864922145796021e-01
3.300000000000000155e-02,9.669268595948325995e+00,9.555811982640705082e+00,9.338129856728488676e+01,2.913434835631478759e+00,-9.725807530864791772e-01,3.071484309376377730e+00,9.987864922145796021e-01
3.400000000000000244e-02,9.659604160375531379e+00,9.546374233532532116e+00,9.319472260830127652e+01,2.901635691667058925e+00,-9.996912738081840111e-01,3.069018137790065825e+00,9.987864922145799351e-01
3.500000000000000333e-02,9.649949384407705111e+00,9.536945691109465884e+00,9.300851942833240571e+01,2.889571320905602203e+00,-1.026628450675506787e+00,3.066527090103157605e+00,9.987864922145802682e-01
3.600000000000000422e-02,9.640304258390065328e+00,9.527526346621627340e+00,9.282268828256519555e+01,2.877244391747819652e+00,-1.053389690156138592e+00,3.064011280849260555e+00,9.987864922145802682e-01
3.699999999999999817e-02,9.630668772677489997e+00,9.518116191327024467e+00,9.263722842767488430e+01,2.864657595703539616e+00,-1.079972439879933965e+00,3.061470824868694152e+00,9.987864922145798241e-01
3.799999999999999906e-02,9.621042917634486713e+00,9.508715216491580691e+00,9.245213912182181559e+01,2.851813646767533683e+00,-1.106374188778857182e+00,3.058905837302876574e+00,9.987864922145801572e-01
3.899999999999999994e-02,9.611426683635208690e+00,9.499323413388850668e+00,9.226741962464855362e+01,2.838715280796352047e+00,-1.132592467217855337e+00,3.056316433588861514e+00,9.987864922145799351e-01
4.000000000000000083e-02,9.601820061063412126e+00,9.489940773300361343e+00,9.208306919727674256e+01,2.825365254886055943e+00,-1.158624847116608292e+00,3.053702729453758202e+00,9.987864922145793800e-01
4.100000000000000172e-02,9.592223040312473969e+00,9.480567287515540897e+00,9.189908710230454858e+01,2.811766346751118917e+00,-1.184468942062250063e+00,3.051064840909186504e+00,9.987864922145800461e-01
4.200000000000000261e-02,9.582635611785377705e+00,9.471202947331306632e+00,9.171547260380324929e+01,2.797921354104476954e+00,-1.210122407413130041e+00,3.048402884245647204e+00,9.987864922145798241e-01
4.300000000000000350e-02,9.573057765894692039e+00,9.461847744052690246e+00,9.153222496731467572e+01,2.783833094039272815e+00,-1.235582940393795015e+00,3.045716976027228462e+00,9.987864922145797131e-01
4.399999999999999745e-02,9.563489493062565572e+00,9.452501668992468353e+00,9.134934345984800075e+01,2.769504402411742117e+00,-1.260848280180978165e+00,3.043007233085940566e+00,9.987864922145803792e-01
4.499999999999999833e-02,9.553930783720735676e+00,9.443164713471006166e+00,9.116682734987698211e+01,2.754938133226071173e+00,-1.285916207981020021e+00,3.040273772516454809e+00,9.987864922145800461e-01
4.599999999999999922e-02,9.544381628310480536e+00,9.433836868816783294e+00,9.098467590733692134e+01,2.740137158020547137e+00,-1.310784547098384545e+00,3.037516711670380065e+00,9.987864922145807123e-01
4.700000000000000011e-02,9.534842017282654680e+00,9.424518126365668991e+00,9.080288840362177893e+01,2.725104365255963224e+00,-1.335451162995709096e+00,3.034736168150980795e+00,9.987864922145797131e-01
4.800000000000000100e-02,9.525311941097637458e+00,9.415208477461732173e+00,9.062146411158133219e+01,2.709842659705762102e+00,-1.359913963345262600e+00,3.031932259807698760e+00,9.987864922145797131e-01
4.900000000000000189e-02,9.515791390225354363e+00,9.405907913456573510e+00,9.044040230551819093e+01,2.694354961848326457e+00,-1.384170898071895195e+00,3.029105104730744014e+00,9.987864922145802682e-01
5.000000000000000278e-02,9.506280355145252159e+00,9.396616425709510168e+00,9.025970226118479900e+01,2.678644207261436705e+00,-1.408219959387604359e+00,3.026254821245705440e+00,9.987864922145804902e-01
5.100000000000000366e-02,9.496778826346304214e+00,9.387334005587646857e+00,9.007936325578083370e+01,2.662713346019016214e+00,-1.432059181817766369e+00,3.023381527908172828e+00,9.987864922145797131e-01
5.200000000000000455e-02,9.487286794326969641e+00,9.378060644466074791e+00,8.989938456795002253e+01,2.646565342090290596e+00,-1.455686642219113036e+00,3.020485343498401143e+00,9.987864922145801572e-01
5.299999999999999850e-02,9.477804249595219943e+00,9.368796333727317460e+00,8.971976547777730104e+01,2.630203172741341966e+00,-1.479100459789453481e+00,3.017566387015866880e+00,9.987864922145801572e-01
5.399999999999999939e-02,9.468331182668508816e+00,9.359541064761785378e+00,8.954050526678612698e+01,2.613629827939343286e+00,-1.502298796069343467e+00,3.014624777673938105e+00,9.987864922145802682e-01
5.500000000000000028e-02,9.458867584073772150e+00,9.350294828967619765e+00,8.936160321793545336e+01,2.596848309759634432e+00,-1.525279854935832402e+00,3.011660634894732791e+00,9.987864922145803792e-01
5.600000000000000117e-02,9.449413444347406710e+00,9.341057617750635700e+00,8.918305861561674419e+01,2.579861631795376642e+00,-1.548041882588105489e+00,3.008674078303735122e+00,9.987864922145801572e-01
5.700000000000000205e-02,9.439968754035275467e+00,9.331829422524407391e+00,8.900487074565144496e+01,2.562672818570126854e+00,-1.570583167525251733e+00,3.005665227724440225e+00,9.987864922145797131e-01
5.800000000000000294e-02,9.430533503692679176e+00,9.322610234710325017e+00,8.882703889528775676e+01,2.545284904953512672e+00,-1.592902040516345874e+00,3.002634203173165872e+00,9.987864922145801572e-01
5.900000000000000383e-02,9.421107683884377693e+00,9.313400045737211030e+00,8.864956235319810673e+01,2.527700935579821007e+00,-1.614996874562683038e+00,2.999581124853658132e+00,9.987864922145796021e-01
5.999999999999999778e-02,9.411691285184540234e+00,9.304198847042030707e+00,8.847244040947610699e+01,2.509923964270176722e+00,-1.636866084852690806e+00,2.996506113152231698e+00,9.987864922145806013e-01
6.099999999999999867e-02,9.402284298176777355e+00,9.295006630068868958e+00,8.829567235563366978e+01,2.491957053457374283e+00,-1.658508128708873652e+00,2.993409288632172149e+00,9.987864922145799351e-01
6.199999999999999956e-02,9.392886713454091208e+00,9.285823386270081414e+00,8.811925748459839269e+01,2.473803273614612941e+00,-1.679921505527636638e+00,2.990290772028803445e+00,9.987864922145806013e-01
6.300000000000000044e-02,9.383498521618909294e+00,9.276649107105228609e+00,8.794319509071057439e+01,2.455465702687237073e+00,-1.701104756711503407e+00,2.987150684244072263e+00,9.987864922145799351e-01
6.400000000000000133e-02,9.374119713283022293e+00,9.267483784041985473e+00,8.776748446972032980e+01,2.436947425528375621e+00,-1.722056465594255403e+00,2.983989146341580856e+00,9.987864922145803792e-01
6.500000000000000222e-02,9.364750279067630245e+00,9.258327408555359739e+00,8.759212491878498952e+01,2.418251533338067194e+00,-1.742775257358851526e+00,2.980806279541514670e+00,9.987864922145807123e-01
6.600000000000000311e-02,9.355390209603303475e+00,9.249179972128089844e+00,8.741711573646612976e+01,2.399381123105942759e+00,-1.763259798948042301e+00,2.977602205215368780e+00,9.987864922145802682e-01
6.700000000000000400e-02,9.346039495529961272e+00,9.240041466250801250e+00,8.724245622272677281e+01,2.380339297057817216e+00,-1.783508798968126419e+00,2.974377044880899934e+00,9.987864922145806013e-01
6.800000000000000488e-02,9.336698127496898536e+00,9.230911882421438008e+00,8.706814567892863010e+01,2.361129162106116119e+00,-1.803521007585763281e+00,2.971130920197071479e+00,9.987864922145798241e-01
6.900000000000000577e-02,9.327366096162736042e+00,9.221791212145944883e+00,8.689418340782928851e+01,2.341753829304238810e+00,-1.823295216417926135e+00,2.967863952959023166e+00,9.987864922145802682e-01
7.000000000000000666e-02,9.318043392195448860e+00,9.212679446937613648e+00,8.672056871357943919e+01,2.322216413304846405e+00,-1.842830258415033562e+00,2.964576265092946805e+00,9.987864922145801572e-01
7.100000000000000755e-02,9.308730006272334379e+00,9.203576578317480994e+00,8.654730090172007806e+01,2.302520031822274049e+00,-1.862125007737460480e+00,2.961267978651051624e+00,9.987864922145793800e-01
7.200000000000000844e-02,9.299425929079994546e+00,9.194482597814399583e+00,8.637437927917972047e+01,2.282667805099204639e+00,-1.881178379625628505e+00,2.957939215806729027e+00,9.987864922145802682e-01
7.299999999999999545e-02,9.290131151314362512e+00,9.185397496964483821e+00,8.620180315427164430e+01,2.262662855377415738e+00,-1.899989330263440745e+00,2.954590098849517066e+00,9.987864922145803792e-01
7.399999999999999634e-02,9.280845663680656443e+00,9.176321267311706720e+00,8.602957183669110464e+01,2.242508306372792415e+00,-1.918556856635293517e+00,2.951220750180044927e+00,9.987864922145798241e-01
7.499999999999999722e-02,9.271569456893386629e+00,9.167253900407686729e+00,8.585768463751263369e+01,2.222207282754809832e+00,-1.936879996376961399e+00,2.947831292305198136e+00,9.987864922145799351e-01
7.599999999999999811e-02,9.262302521676344824e+00,9.158195387811574051e+00,8.568614086918719863e+01,2.201762909630268883e+00,-1.954957827620047883e+00,2.944421847833024852e+00,9.987864922145804902e-01
7.699999999999999900e-02,9.253044848762597141e+00,9.149145721090036432e+00,8.551493984553947314e+01,2.181178312031843536e+00,-1.972789468830776549e+00,2.940992539468215039e+00,9.987864922145806013e-01
7.799999999999999989e-02,9.243796428894469841e+00,9.140104891817472321e+00,8.534408088176515150e+01,2.160456614410614318e+00,-1.990374078642051181e+00,2.937543490006704339e+00,9.987864922145807123e-01
7.900000000000000078e-02,9.234557252823545781e+00,9.131072891575740869e+00,8.517356329442814911e+01,2.139600940133852713e+00,-2.007710855680430395e+00,2.934074822331344645e+00,9.987864922145798241e-01
8.000000000000000167e-02,9.225327311310641321e+00,9.122049711954517193e+00,8.500338640145790237e+01,2.118614410986884078e+00,-2.024799038386604355e+00,2.930586659406716699e+00,9.987864922145799351e-01
8.100000000000000255e-02,9.216106595125816980e+00,9.113035344550823424e+00,8.483354952214658340e+01,2.097500146680057131e+00,-2.041637904830488015e+00,2.927079124274484911e+00,9.987864922145796021e-01
8.200000000000000344e-02,9.206895095048352573e+00,9.104029780969426611e+00,8.466405197714648523e+01,2.076261264360221848e+00,-2.058226772520500347e+00,2.923552340048465759e+00,9.987864922145803792e-01
8.300000000000000433e-02,9.197692801866752532e+00,9.095033012822412388e+00,8.449489308846713698e+01,2.054900878127185138e+00,-2.074564998207439892e+00,2.920006429909925760e+00,9.987864922145800461e-01
8.400000000000000522e-02,9.188499706378719267e+00,9.086045031729710786e+00,8.432607217947280276e+01,2.033422098555048851e+00,-2.090651977682969509e+00,2.916441517102945635e+00,9.987864922145800461e-01
8.500000000000000611e-02,9.179315799391160269e+00,9.077065829318655688e+00,8.415758857487966793e+01,2.011828032218343054e+00,-2.106487145572552233e+00,2.912857724929580172e+00,9.987864922145802682e-01
8.600000000000000699e-02,9.170141071720166792e+00,9.068095397224112730e+00,8.398944160075303955e+01,1.990121781223195274e+00,-2.122069975123229035e+00,2.909255176745155769e+00,9.987864922145800461e-01
8.700000000000000788e-02,9.160975514191004976e+00,9.059133727088635624e+00,8.382163058450477422e+01,1.968306442743496198e+00,-2.137399977986232713e+00,2.905633995953568860e+00,9.987864922145806013e-01
8.799999999999999489e-02,9.151819117638124723e+00,9.050180810562110878e+00,8.365415485489064906e+01,1.946385108562129540e+00,-2.152476703994538276e+00,2.901994306002615431e+00,9.987864922145807123e-01
8.899999999999999578e-02,9.142671872905124175e+00,9.041236639302042022e+00,8.348701374200740588e+01,1.924360864617392863e+00,-2.167299740935635377e+00,2.898336230379538581e+00,9.987864922145800461e-01
8.999999999999999667e-02,9.133533770844756816e+00,9.032301204973606445e+00,8.332020657729049162e+01,1.902236790554337142e+00,-2.181868714319029401e+00,2.894659892606148865e+00,9.987864922145801572e-01
9.099999999999999756e-02,9.124404802318924368e+00,9.023374499249257497e+00,8.315373269351098884e+01,1.880015959281533977e+00,-2.196183287139354956e+00,2.890965416234426044e+00,9.987864922145798241e-01
9.199999999999999845e-02,9.115284958198651921e+00,9.014456513809207650e+00,8.298759142477314299e+01,1.857701436532829709e+00,-2.210243159634472931e+00,2.887252924841728685e+00,9.987864922145802682e-01
9.299999999999999933e-02,9.106174229364098593e+00,9.005547240340888493e+00,8.282178210651161976e+01,1.835296280434584038e+00,-2.224048069039359810e+00,2.883522542026458080e+00,9.987864922145800461e-01
9.400000000000000022e-02,9.097072606704532660e+00,8.996646670539490742e+00,8.265630407548896130e+01,1.812803541078056746e+00,-2.237597789335323384e+00,2.879774391403512102e+00,9.987864922145800461e-01
9.500000000000000111e-02,9.087980081118331555e+00,8.987754796107566335e+00,8.249115666979278672e+01,1.790226260097109057e+00,-2.250892130994707863e+00,2.876008596599665790e+00,9.987864922145798241e-01
9.600000000000000200e-02,9.078896643512969433e+00,8.978871608755213174e+00,8.232633922883331934e+01,1.767567470251330430e+00,-2.263930940721532448e+00,2.872225281249186857e+00,9.987864922145798241e-01
9.700000000000000289e-02,9.069822284805004742e+00,8.969997100200046702e+00,8.216185109334053038e+01,1.744830195014454910e+00,-2.276714101187673922e+00,2.868424568989218049e+00,9.987864922145803792e-01
9.800000000000000377e-02,9.060756995920083767e+00,8.961131262167000955e+00,8.199769160536165202e+01,1.722017448168336795e+00,-2.289241530765333543e+00,2.864606583455571176e+00,9.987864922145802682e-01
9.900000000000000466e-02,9.051700767792912217e+00,8.952274086388612773e+00,8.183386010825850576e+01,1.699132233402216530e+00,-2.301513183255156303e+00,2.860771448278188966e+00,9.987864922145801572e-01
1.000000000000000056e-01,9.042653591367264099e+00,8.943425564604893907e+00,8.167035594670490184e+01,1.676177543917535040e+00,-2.313529047610554557e+00,2.856919287076766789e+00,9.987864922145798241e-01
1.010000000000000064e-01,9.033615457595962184e+00,8.934585688563316808e+00,8.150717846668406708e+01,1.653156362038200822e+00,-2.325289147658200495e+00,2.853050223456358836e+00,9.987864922145800461e-01
1.020000000000000073e-01,9.024586357440867346e+00,8.925754450018757780e+00,8.134432701548571742e+01,1.630071658826365288e+00,-2.336793541814785158e+00,2.849164381003002955e+00,9.987864922145804902e-01
1.030000000000000082e-01,9.015566281872883891e+00,8.916931840733482773e+00,8.118180094170385530e+01,1.606926393703801859e+00,-2.348042322800333537e+00,2.845261883279550208e+00,9.987864922145801572e-01
1.040000000000000091e-01,9.006555221871931138e+00,8.908117852477403176e+00,8.101959959523401267e+01,1.583723514078745342e+00,-2.359035617347769787e+00,2.841342853821288372e+00,9.987864922145803792e-01
1.049999999999999961e-01,8.997553168426955850e+00,8.899312477027635282e+00,8.085772232727062203e+01,1.560465954978339953e+00,-2.369773585909057179e+00,2.837407416131623172e+00,9.987864922145800461e-01
1.059999999999999970e-01,8.988560112535894930e+00,8.890515706168912402e+00,8.069616849030431638e+01,1.537156638686674626e+00,-2.380256422358122848e+00,2.833455693677881637e+00,9.987864922145801572e-01
1.069999999999999979e-01,8.979576045205694967e+00,8.881727531693329070e+00,8.053493743811958439e+01,1.513798474388395654e+00,-2.390484353690339514e+00,2.829487809886968464e+00,9.987864922145806013e-01
1.079999999999999988e-01,8.970600957452290913e+00,8.872947945400298408e+00,8.037402852579197088e+01,1.490394357818029203e+00,-2.400457639719263181e+00,2.825503888141439379e+00,9.987864922145802682e-01
1.089999999999999997e-01,8.961634840300588323e+00,8.864176939096836350e+00,8.021344110968560415e+01,1.466947170914773002e+00,-2.410176572769739067e+00,2.821504051775035382e+00,9.987864922145804902e-01
1.100000000000000006e-01,8.952677684784479339e+00,8.855414504597163727e+00,8.005317454745066641e+01,1.443459781483090509e+00,-2.419641477368501103e+00,2.817488424068718800e+00,9.987864922145799351e-01
1.110000000000000014e-01,8.943729481946798288e+00,8.846660633723104183e+00,7.989322819802065112e+01,1.419935042858813556e+00,-2.428852709931556664e+00,2.813457128246372729e+00,9.987864922145797131e-01
1.120000000000000023e-01,8.934790222839339435e+00,8.837915318303814161e+00,7.973360142160993291e+01,1.396375793581012603e+00,-2.437810658449088841e+00,2.809410287470839318e+00,9.987864922145804902e-01
1.130000000000000032e-01,8.925859898522853442e+00,8.829178550175669216e+00,7.957429357971120965e+01,1.372784857069471398e+00,-2.446515742167444607e+00,2.805348024839765309e+00,9.987864922145801572e-01
1.140000000000000041e-01,8.916938500067011830e+00,8.820450321182605080e+00,7.941530403509293023e+01,1.349165041307857749e+00,-2.454968411268684481e+00,2.801270463381628328e+00,9.987864922145794910e-01
1.150000000000000050e-01,8.908026018550406988e+00,8.811730623176060817e+00,7.925663215179667986e+01,1.325519138532546437e+00,-2.463169146547450339e+00,2.797177726051628177e+00,9.987864922145802682e-01
1.160000000000000059e-01,8.899122445060566378e+00,8.803019448014481441e+00,7.909827729513466466e+01,1.301849924927138247e+00,-2.471118459085479557e+00,2.793069935727673592e+00,9.987864922145798241e-01
1.170000000000000068e-01,8.890227770693911680e+00,8.794316787564042670e+00,7.894023883168736688e+01,1.278160160322659111e+00,-2.478816889923843192e+00,2.788947215206440511e+00,9.987864922145803792e-01
1.180000000000000077e-01,8.881341986555767676e+00,8.785622633697997230e+00,7.878251612930057490e+01,1.254452587903422067e+00,-2.486265009732855358e+00,2.784809687199379713e+00,9.987864922145802682e-01
1.190000000000000085e-01,8.872465083760353366e+00,8.776936978297129599e+00,7.862510855708337942e+01,1.230729933918597752e+00,-2.493463418479882510e+00,2.780657474328806611e+00,9.987864922145798241e-01
1.199999999999999956e-01,8.863597053430760653e+00,8.768259813249571266e+00,7.846801548540527449e+01,1.206994907399429939e+00,-2.500412745095052625e+00,2.776490699123974171e+00,9.987864922145800461e-01
1.209999999999999964e-01,8.854737886698959670e+00,8.759591130450687047e+00,7.831123628589368479e+01,1.183250199882152298e+00,-2.507113647135010837e+00,2.772309484017210224e+00,9.987864922145799351e-01
1.219999999999999973e-01,8.845887574705779244e+00,8.750930921803387719e+00,7.815477033143169194e+01,1.159498485136559731e+00,-2.513566810444751720e+00,2.768113951340041901e+00,9.987864922145810453e-01
1.229999999999999982e-01,8.837046108600919325e+00,8.742279179217504748e+00,7.799861699615523492e+01,1.135742418900258066e+00,-2.519772948817563307e+00,2.763904223319282760e+00,9.987864922145802682e-01
1.239999999999999991e-01,8.828213479542897701e+00,8.733635894610685568e+00,7.784277565545070843e+01,1.111984638618562782e+00,-2.525732803653477188e+00,2.759680422073343742e+00,9.987864922145802682e-01
