time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
9.600000000000000200e-02,9.001172902264165110e-01,8.956153106612778636e-01,8.346726253223166886e-03,1.454575686590795338e-03
9.800000000000000377e-02,8.979692774021518220e-01,8.933383961007380636e-01,8.679626751206204194e-03,1.808974027451146042e-03
1.000000000000000056e-01,8.958191545339414530e-01,8.910948778601681664e-01,9.018263881789466418e-03,2.291285545419715144e-03
1.020000000000000073e-01,8.936669584967765756e-01,8.891971293923339736e-01,9.362593523943286977e-03,2.553592488625641612e-03
1.040000000000000091e-01,8.915127260932892428e-01,8.871041692777896781e-01,9.712571643737826638e-03,2.809206111911625656e-03
1.059999999999999970e-01,8.893564940537524999e-01,8.848877063449949176e-01,1.006815429434308566e-02,3.260286359881643843e-03
1.079999999999999988e-01,8.871982990360802734e-01,8.828379031617002992e-01,1.042929761602890380e-02,3.502212785471644097e-03
1.100000000000000006e-01,8.850381776258277045e-01,8.805630185723266612e-01,1.079595783616495511e-02,3.927167169658503029e-03
1.120000000000000023e-01,8.828761663361905931e-01,8.784345053834426986e-01,1.116809126922075138e-02,4.316149464289291068e-03
1.140000000000000041e-01,8.807123016080060651e-01,8.760469331620394096e-01,1.154565431676564218e-02,4.848844746528291165e-03
1.160000000000000059e-01,8.785466198097519053e-01,8.742409486783161432e-01,1.192860346746881135e-02,5.290800261826997600e-03
1.180000000000000077e-01,8.763791572375472239e-01,8.723851445015747830e-01,1.231689529709928226e-02,5.709865830638681701e-03
1.199999999999999956e-01,8.742099501151517904e-01,8.700671809737015039e-01,1.271048646852591078e-02,6.065724735102492535e-03
1.219999999999999973e-01,8.720390345939666998e-01,8.679031268063869264e-01,1.310933373171740274e-02,6.625377463745472581e-03
1.239999999999999991e-01,8.698664467530335953e-01,8.654163904210089298e-01,1.351339392374228260e-02,7.179241659932903731e-03
1.260000000000000009e-01,8.676922225982767189e-01,8.634666063875298114e-01,1.392262396948291611e-02,7.757901500567234571e-03
1.280000000000000027e-01,8.655163977276397747e-01,8.612349002134110920e-01,1.433698119667802841e-02,8.204718694882640745e-03
1.300000000000000044e-01,8.633390076474779518e-01,8.590294416944155298e-01,1.475642303825736891e-02,8.628350393470096691e-03
1.320000000000000062e-01,8.611600880279778325e-01,8.566162929308339669e-01,1.518090679204014970e-02,8.970536406066390023e-03
1.340000000000000080e-01,8.589796744600974865e-01,8.545759922952950172e-01,1.561038984940803231e-02,9.657431157210053310e-03
1.360000000000000098e-01,8.567978024555669148e-01,8.524850054833080781e-01,1.604482969530512254e-02,1.022529382802308921e-02
1.380000000000000115e-01,8.546145074468877167e-01,8.503306707462935377e-01,1.648418390823797736e-02,1.065494002089895781e-02
1.400000000000000133e-01,8.524298247873335344e-01,8.480256520059992198e-01,1.692841016027558931e-02,1.100694209115772246e-02
1.420000000000000151e-01,8.502437897509497189e-01,8.459368214378265582e-01,1.737746621704941083e-02,1.131290336855879895e-02
1.440000000000000169e-01,8.480564375325534421e-01,8.440543303760388305e-01,1.783130993775332990e-02,1.173460197750159084e-02
1.459999999999999909e-01,8.458678032477336961e-01,8.417952680744645866e-01,1.828989927514368050e-02,1.210588133296941482e-02
1.479999999999999927e-01,8.436779219328510715e-01,8.397582110522298082e-01,1.875319227553925647e-02,1.255495142039790568e-02
1.499999999999999944e-01,8.414868285450384233e-01,8.371545313781806330e-01,1.922114707882128723e-02,1.290787363913351200e-02
1.519999999999999962e-01,8.392945579621999830e-01,8.351462539042362465e-01,1.969372191843344819e-02,1.346473250871637641e-02
1.539999999999999980e-01,8.371011449830120243e-01,8.329281828255816755e-01,2.017087512138186073e-02,1.397745372506468270e-02
1.559999999999999998e-01,8.349066243269224197e-01,8.302788975198337473e-01,2.065256510823509223e-02,1.452305361405538051e-02
1.580000000000000016e-01,8.327110306237224258e-01,8.282200058462906300e-01,2.113875040287907861e-02,1.497076265646465031e-02
1.600000000000000033e-01,8.305143981141127618e-01,8.259639188178204972e-01,2.162938991260872704e-02,1.549430923835943413e-02
1.620000000000000051e-01,8.283167610478125997e-01,8.236132788282345407e-01,2.212444255573505283e-02,1.588995697085748143e-02
1.640000000000000069e-01,8.261181537088109206e-01,8.215532968301515471e-01,2.262386723796497301e-02,1.652987818703118353e-02
1.660000000000000087e-01,8.239186102905595721e-01,8.194043023427673988e-01,2.312762296914640942e-02,1.719741769803929607e-02
1.680000000000000104e-01,8.217181648955375062e-01,8.171481800174084098e-01,2.363566886367565387e-02,1.766434681494950809e-02
