time,mean_particle_number,variance
0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
1.000000000000000021e-03,9.990004998333749882e+02,9.985011660028249025e-01
2.000000000000000042e-03,9.980019986673330550e+02,1.994009323185309768e+00
3.000000000000000062e-03,9.970044955033730503e+02,2.986531449249014258e+00
4.000000000000000083e-03,9.960079893439918806e+02,3.976074511185288429e+00
5.000000000000000104e-03,9.950124791926829175e+02,4.962645452702417970e+00
6.000000000000000125e-03,9.940179640539362254e+02,5.946251205867156386e+00
7.000000000000000146e-03,9.930244429332365144e+02,6.926898688892833889e+00
8.000000000000000167e-03,9.920319148370624589e+02,7.904594804858788848e+00
9.000000000000001055e-03,9.910403787728857878e+02,8.879346442292444408e+00
1.000000000000000021e-02,9.900498337491704888e+02,9.851160474820062518e+00
1.099999999999999936e-02,9.890602787753712164e+02,1.082004376186523587e+01
1.200000000000000025e-02,9.880717128619335199e+02,1.178600314608775079e+01
1.300000000000000114e-02,9.870841350202911144e+02,1.274904545815661550e+01
1.400000000000000029e-02,9.860975442628656538e+02,1.370917751255910844e+01
1.499999999999999944e-02,9.851119396030669577e+02,1.466640610992908478e+01
1.600000000000000033e-02,9.841273200552892604e+02,1.562073803658131510e+01
1.700000000000000122e-02,9.831436846349140524e+02,1.657218006311450154e+01
1.800000000000000211e-02,9.821610323583058744e+02,1.752073894452769309e+01
1.899999999999999953e-02,9.811793622428112940e+02,1.846642142569180578e+01
2.000000000000000042e-02,9.801986733067607247e+02,1.940923423343338072e+01
2.100000000000000130e-02,9.792189645694656974e+02,2.034918407967779785e+01
2.199999999999999872e-02,9.782402350512167004e+02,2.128627766552381217e+01
2.299999999999999961e-02,9.772624837732842025e+02,2.222052167390938848e+01
2.400000000000000050e-02,9.762857097579161518e+02,2.315192277717869729e+01
2.500000000000000139e-02,9.753099120283399088e+02,2.408048762835096568e+01
2.600000000000000228e-02,9.743350896087571300e+02,2.500622287055011839e+01
2.699999999999999969e-02,9.733612415243451323e+02,2.592913513130042702e+01
2.800000000000000058e-02,9.723883668012549606e+02,2.684923102473840117e+01
2.900000000000000147e-02,9.714164644666137747e+02,2.776651714765466750e+01
2.999999999999999889e-02,9.704455335485175738e+02,2.868100008589681238e+01
3.099999999999999978e-02,9.694755730760354027e+02,2.959268641157541424e+01
3.200000000000000067e-02,9.685065820792071918e+02,3.050158267922233790e+01
3.300000000000000155e-02,9.675385595890420518e+02,3.140769543265923858e+01
3.400000000000000244e-02,9.665715046375169095e+02,3.231103119975887239e+01
3.500000000000000333e-02,9.656054162575774171e+02,3.321159649523906410e+01
3.600000000000000422e-02,9.646402934831342009e+02,3.410939781973138452e+01
3.699999999999999817e-02,9.636761353490647934e+02,3.500444165989756584e+01
3.799999999999999906e-02,9.627129408912115878e+02,3.589673448808025569e+01
3.899999999999999994e-02,9.617507091463780853e+02,3.678628276416566223e+01
