time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
6.800000000000000488e-02,9.299471040825935120e-01,9.246030842763841573e-01,4.313370252237271399e-03,-2.343407378982356390e-03
7.000000000000000666e-02,9.278325437547322307e-01,9.225370034742916836e-01,4.561276895421980879e-03,-1.815534898083409230e-03
7.200000000000000844e-02,9.257153493766655528e-01,9.199532530136249608e-01,4.815547161051640657e-03,-1.200318380700742546e-03
7.399999999999999634e-02,9.235955588479993761e-01,9.190503162352327005e-01,5.076135697748576647e-03,-1.605640544321012934e-03
7.599999999999999811e-02,9.214732100024242145e-01,9.169385234211886448e-01,5.342997235146392312e-03,-1.118489107490154002e-03
7.799999999999999989e-02,9.193483406077150866e-01,9.153008488417740951e-01,5.616086583889960855e-03,-4.920144450055377724e-04
8.000000000000000167e-02,9.172209883657315155e-01,9.132788375085597599e-01,5.895358635635421750e-03,-5.134809607856491431e-04
8.200000000000000344e-02,9.150911909124177512e-01,9.109127554822619155e-01,6.180768363050192886e-03,-3.420894121966201089e-04
8.400000000000000522e-02,9.129589858178021045e-01,9.081839274902042680e-01,6.472270819812954955e-03,-7.099924223374941886e-04
8.600000000000000699e-02,9.108244105859979456e-01,9.060504787141205885e-01,6.769821140613664461e-03,-4.680571087935664083e-04
8.799999999999999489e-02,9.086875026552028167e-01,9.033235349000241499e-01,7.073374541153547648e-03,2.276359073995998608e-04
8.999999999999999667e-02,9.065482993976989867e-01,9.015126753246724967e-01,7.382886318145103106e-03,7.794001071276092721e-04
9.199999999999999845e-02,9.044068381198532292e-01,8.992512764163573813e-01,7.698311849312098297e-03,5.550957581514486547e-04
9.400000000000000022e-02,9.022631560621166003e-01,8.970913041751109596e-01,8.019606593389572158e-03,8.042084398241426506e-04
9.600000000000000200e-02,9.001172902264165110e-01,8.946413272336514177e-01,8.346726253223166886e-03,1.403467497550036584e-03
9.800000000000000377e-02,8.979692774021518220e-01,8.919139682734338326e-01,8.679626751206204194e-03,1.988831723881437797e-03
1.000000000000000056e-01,8.958191545339414530e-01,8.894455160241765412e-01,9.018263881789466418e-03,2.722718128188993548e-03
1.020000000000000073e-01,8.936669584967765756e-01,8.880417395820063842e-01,9.362593523943286977e-03,2.725942234570218579e-03
1.040000000000000091e-01,8.915127260932892428e-01,8.859529819003382212e-01,9.712571643737826638e-03,2.697784524895884082e-03
1.059999999999999970e-01,8.893564940537524999e-01,8.834231263526178823e-01,1.006815429434308566e-02,3.131329187244262166e-03
1.079999999999999988e-01,8.871982990360802734e-01,8.816287082253287943e-01,1.042929761602890380e-02,2.958290284064950953e-03
1.100000000000000006e-01,8.850381776258277045e-01,8.791522155536384275e-01,1.079595783616495511e-02,3.524207021917251121e-03
