time,density_n_site_1,positive_p_n_site_1
7.399999999999999634e-02,9.286717015694399002e-01,9.305310538475157767e-01
7.599999999999999811e-02,9.268162142579448037e-01,9.285511555618805035e-01
7.799999999999999989e-02,9.249644342115624918e-01,9.267808203394670707e-01
8.000000000000000167e-02,9.231163540258294775e-01,9.252223193146996705e-01
8.200000000000000344e-02,9.212719663111116342e-01,9.240107793727887486e-01
8.400000000000000522e-02,9.194312636764826463e-01,9.225004995863298474e-01
8.600000000000000699e-02,9.175942387513725818e-01,9.216151214778082190e-01
8.799999999999999489e-02,9.157608841875823913e-01,9.207338676327758709e-01
8.999999999999999667e-02,9.139311926519172458e-01,9.195221695533680739e-01
9.199999999999999845e-02,9.121051568261866471e-01,9.180700437582831608e-01
9.400000000000000022e-02,9.102827694072044284e-01,9.160245544418119668e-01
9.600000000000000200e-02,9.084640231067884208e-01,9.137466770008355610e-01
9.800000000000000377e-02,9.066489106517604535e-01,9.115630551774762669e-01
1.000000000000000056e-01,9.048374247839466866e-01,9.096430362351858312e-01
1.020000000000000073e-01,9.030295582601777227e-01,9.079620253345361824e-01
1.040000000000000091e-01,9.012253038522880511e-01,9.059346303572357595e-01
1.059999999999999970e-01,8.994246543471166033e-01,9.047385773323750602e-01
1.079999999999999988e-01,8.976276025465060870e-01,9.027742598709415089e-01
1.100000000000000006e-01,8.958341412673038739e-01,9.013939548669314128e-01
1.120000000000000023e-01,8.940442633413613338e-01,8.998973744998151059e-01
1.140000000000000041e-01,8.922579616155337234e-01,8.977892501737368969e-01
1.160000000000000059e-01,8.904752289516811858e-01,8.955031783735458717e-01
1.180000000000000077e-01,8.886960582251018925e-01,8.942705736540947914e-01
1.199999999999999956e-01,8.869204422760497142e-01,8.931479427304175323e-01
1.219999999999999973e-01,8.851483739770688031e-01,8.909845558083133721e-01
1.239999999999999991e-01,8.833798462368176452e-01,8.888046230842402418e-01
1.260000000000000009e-01,8.816148519782878168e-01,8.871331496311838372e-01
1.280000000000000027e-01,8.798533841388040955e-01,8.845205044212387513e-01
1.300000000000000044e-01,8.780954356700242380e-01,8.818597869981533721e-01
1.320000000000000062e-01,8.763409995379393136e-01,8.798516405079763736e-01
1.340000000000000080e-01,8.745900687228731485e-01,8.781288204017175802e-01
1.360000000000000098e-01,8.728426362194831034e-01,8.774950072159386494e-01
1.380000000000000115e-01,8.710986950367592963e-01,8.755351008783904820e-01
1.400000000000000133e-01,8.693582381980251572e-01,8.748185794782230573e-01
1.420000000000000151e-01,8.676212587409372068e-01,8.732886646296863509e-01
1.440000000000000169e-01,8.658877497174849447e-01,8.716517637524534567e-01
1.459999999999999909e-01,8.641577041939910719e-01,8.698671102851298631e-01
1.479999999999999927e-01,8.624311152511113798e-01,8.678179392272985515e-01
1.499999999999999944e-01,8.607079759838348609e-01,8.657642962849687596e-01
1.519999999999999962e-01,8.589882795014833761e-01,8.636647235962039426e-01
1.539999999999999980e-01,8.572720189277122094e-01,8.617297624751095730e-01
1.559999999999999998e-01,8.555591874005095132e-01,8.598089192409095194e-01
1.580000000000000016e-01,8.538497780721965302e-01,8.577195582698393661e-01
1.600000000000000033e-01,8.521437841094279264e-01,8.558990798653066667e-01
1.620000000000000051e-01,8.504411986931911249e-01,8.547706599807358696e-01
1.640000000000000069e-01,8.487420150188068613e-01,8.536017890624161275e-01
1.660000000000000087e-01,8.470462262959287392e-01,8.532915158605430817e-01
1.680000000000000104e-01,8.453538257485437857e-01,8.508717512045798070e-01
1.700000000000000122e-01,8.436648066149720071e-01,8.487342998063526212e-01
1.720000000000000140e-01,8.419791621478663890e-01,8.464275131894992699e-01
1.740000000000000158e-01,8.402968856142131182e-01,8.447214499011993505e-01
1.759999999999999898e-01,8.386179702953316939e-01,8.430398158981461387e-01
1.779999999999999916e-01,8.369424094868743724e-01,8.406839824337623002e-01
1.799999999999999933e-01,8.352701964988267225e-01,8.378638728824120419e-01
1.819999999999999951e-01,8.336013246555072920e-01,8.350414670645999182e-01
1.839999999999999969e-01,8.319357872955680522e-01,8.331560997608922214e-01
1.859999999999999987e-01,8.302735777719936205e-01,8.310163065746117850e-01
1.880000000000000004e-01,8.286146894521020378e-01,8.303012520409465136e-01
1.900000000000000022e-01,8.269591157175443241e-01,8.289073839877546535e-01
1.920000000000000040e-01,8.253068498833482369e-01,8.276933690359254969e-01
