time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2,mean_particle_number_imag,variance_imag,factorial_second_moment_imag
0.000000000000000000e+00,1.011928611167213665e+00,8.692856896496725660e-02,9.610954901293976282e-02,1.568281617661204316e-02,-6.805348696203555869e-02,6.983715208197817381e-02,9.385702599431716697e-02,5.375800297276427109e-02,2.118718099971788615e-01,2.669123295991191469e-01
1.000000000000000021e-03,1.010917188351739382e+00,8.776529746653016772e-02,9.591752200592988664e-02,1.567497672854907542e-02,-6.801946872382280684e-02,6.980224223412642703e-02,9.385702599431715309e-02,5.370427183983556702e-02,2.115021672671023034e-01,2.663790384088748908e-01
2.000000000000000042e-03,1.009906776453537880e+00,8.859934427657090161e-02,9.572587866913594146e-02,1.566714119923037080e-02,-6.798546749047759685e-02,6.976734983683562097e-02,9.385702599431715309e-02,5.365059441118317368e-02,2.111332094330941878e-01,2.658468127351393817e-01
3.000000000000000062e-03,1.008897374462196739e+00,8.943071576251537813e-02,9.553461823598428937e-02,1.565930958669704831e-02,-6.795148325349960328e-02,6.973247488138262229e-02,9.385702599431716697e-02,5.359697063312966747e-02,2.107649351803550508e-01,2.653156504490093437e-01
4.000000000000000083e-03,1.007888981368314285e+00,9.025941827805783468e-02,9.534373994143297004e-02,1.565148188899120191e-02,-6.791751600439277503e-02,6.969761735904871081e-02,9.385702599431713922e-02,5.354340045205125548e-02,2.103973431966587038e-01,2.647855494258348208e-01
5.000000000000000104e-03,1.006881596163496928e+00,9.108545816318991406e-02,9.515324302196850881e-02,1.564365810415591085e-02,-6.788356573466530763e-02,6.966277726111951007e-02,9.385702599431716697e-02,5.348988381437775469e-02,2.100304321723474033e-01,2.642565075452110168e-01
6.000000000000000125e-03,1.005875217840360047e+00,9.190884174422842001e-02,9.496312671560305785e-02,1.563583823023522584e-02,-6.784963243582962933e-02,6.962795457888497352e-02,9.385702599431715309e-02,5.343642066659254342e-02,2.096642008003265500e-01,2.637285226909698022e-01
7.000000000000000146e-03,1.004869845392524663e+00,9.272957533384573736e-02,9.477339026187106552e-02,1.562802226527418292e-02,-6.781571609940241496e-02,6.959314930363945384e-02,9.385702599431715309e-02,5.338301095523243639e-02,2.092986477760597208e-01,2.632015927511709985e-01
8.000000000000000167e-03,1.003865477814618323e+00,9.354766523109581122e-02,9.458403290182648693e-02,1.562021020731878436e-02,-6.778181671690457211e-02,6.955836142668161970e-02,9.385702599431715309e-02,5.332965462688774028e-02,2.089337717975633946e-01,2.626757156180941077e-01
9.000000000000001055e-03,1.002862114102273550e+00,9.436311772144345689e-02,9.439505387803961978e-02,1.561240205441602122e-02,-6.774793427986126881e-02,6.952359093931451128e-02,9.385702599431715309e-02,5.327635162820210796e-02,2.085695715654022342e-01,2.621508891882298742e-01
1.000000000000000021e-02,1.001859753252126506e+00,9.517593907679167131e-02,9.420645243459413454e-02,1.560459780461385254e-02,-6.771406877980187811e-02,6.948883783284548477e-02,9.385702599431713922e-02,5.322310190587255241e-02,2.082060457826840350e-01,2.616271113622720135e-01
1.099999999999999936e-02,1.000858394261816109e+00,9.598613555551127607e-02,9.401822781708397969e-02,1.559679745596121575e-02,-6.768022020826004737e-02,6.945410209858629558e-02,9.385702599431713922e-02,5.316990540664932874e-02,2.078431931550543399e-01,2.611043800451083863e-01
1.200000000000000025e-02,9.998580361299832520e-01,9.679371340246711863e-02,9.383037927261046740e-02,1.558900100650802492e-02,-6.764638855677361506e-02,6.941938372785298739e-02,9.385702599431716697e-02,5.311676207733594807e-02,2.074810123906916381e-01,2.605826931458130602e-01
1.300000000000000114e-02,9.988586778562700275e-01,9.759867884904738222e-02,9.364290604977915100e-02,1.558120845430516557e-02,-6.761257381688468016e-02,6.938468271196597537e-02,9.385702599431715309e-02,5.306367186478906650e-02,2.071195022003025632e-01,2.600620485776378166e-01
1.400000000000000029e-02,9.978603184413178395e-01,9.840103811319111937e-02,9.345580739869688291e-02,1.557341979740450161e-02,-6.757877598013953269e-02,6.934999904224999068e-02,9.385702599431715309e-02,5.301063471591847820e-02,2.067586612971164528e-01,2.595424442580035462e-01
1.499999999999999944e-02,9.968629568867672930e-01,9.920079739941556340e-02,9.326908257096881705e-02,1.556563503385886837e-02,-6.754499503808875094e-02,6.931533271003413599e-02,9.385702599431713922e-02,5.295765057768701822e-02,2.063984883968808526e-01,2.590238781084924224e-01
1.600000000000000033e-02,9.958665921952566391e-01,9.999796289884543832e-02,9.308273081969541118e-02,1.555785416172207614e-02,-6.751123098228707653e-02,6.928068370665181608e-02,9.385702599431715309e-02,5.290471939711055560e-02,2.060389822178561037e-01,2.585063480548391301e-01
1.700000000000000122e-02,9.948712233704212204e-01,1.007925407892386049e-01,9.289675139946937388e-02,1.555007717904890313e-02,-6.747748380429349768e-02,6.924605202344079335e-02,9.385702599431715309e-02,5.285184112125788924e-02,2.056801414808106521e-01,2.579898520269227058e-01
1.800000000000000211e-02,9.938768494168920276e-01,1.015845372350159259e-01,9.271114356637279175e-02,1.554230408389510598e-02,-6.744375349567122147e-02,6.921143765174313234e-02,9.385702599431713922e-02,5.279901569725075489e-02,2.053219649090158860e-01,2.574743879587583217e-01
1.899999999999999953e-02,9.928834693402951439e-01,1.023739583872868009e-01,9.252590657797411799e-02,1.553453487431741102e-02,-6.741004004798767379e-02,6.917684058290524129e-02,9.385702599431715309e-02,5.274624307226371406e-02,2.049644512282414732e-01,2.569599537884891816e-01
