time,mean_particle_number,variance
0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000021e-03,2.997001499500124844e+00,2.997001499500124844e+00
2.000000000000000042e-03,2.994005996001999126e+00,2.994005996001999126e+00
3.000000000000000062e-03,2.991013486510119002e+00,2.991013486510119002e+00
4.000000000000000083e-03,2.988023968031974675e+00,2.988023968031974675e+00
5.000000000000000104e-03,2.985037437578046848e+00,2.985037437578046848e+00
6.000000000000000125e-03,2.982053892161805830e+00,2.982053892161805830e+00
7.000000000000000146e-03,2.979073328799705322e+00,2.979073328799705322e+00
8.000000000000000167e-03,2.976095744511181973e+00,2.976095744511181973e+00
9.000000000000001055e-03,2.973121136318650937e+00,2.973121136318650937e+00
1.000000000000000021e-02,2.970149501247504098e+00,2.970149501247504098e+00
1.099999999999999936e-02,2.967180836326106075e+00,2.967180836326106075e+00
1.200000000000000025e-02,2.964215138585791554e+00,2.964215138585791554e+00
1.300000000000000114e-02,2.961252405060862625e+00,2.961252405060862625e+00
1.400000000000000029e-02,2.958292632788585674e+00,2.958292632788585674e+00
1.499999999999999944e-02,2.955335818809187831e+00,2.955335818809187831e+00
1.600000000000000033e-02,2.952381960165855190e+00,2.952381960165855190e+00
1.700000000000000122e-02,2.949431053904728817e+00,2.949431053904728817e+00
1.800000000000000211e-02,2.946483097074902524e+00,2.946483097074902524e+00
1.899999999999999953e-02,2.943538086728417991e+00,2.943538086728417991e+00
2.000000000000000042e-02,2.940596019920265647e+00,2.940596019920265647e+00
2.100000000000000130e-02,2.937656893708378902e+00,2.937656893708378902e+00
2.199999999999999872e-02,2.934720705153630149e+00,2.934720705153630149e+00
2.299999999999999961e-02,2.931787451319831206e+00,2.931787451319831206e+00
2.400000000000000050e-02,2.928857129273727988e+00,2.928857129273727988e+00
2.500000000000000139e-02,2.925929736084997845e+00,2.925929736084997845e+00
2.600000000000000228e-02,2.923005268826248226e+00,2.923005268826248226e+00
2.699999999999999969e-02,2.920083724573010464e+00,2.920083724573010464e+00
2.800000000000000058e-02,2.917165100403740663e+00,2.917165100403740663e+00
2.900000000000000147e-02,2.914249393399814370e+00,2.914249393399814370e+00
2.999999999999999889e-02,2.911336600645524353e+00,2.911336600645524353e+00
3.099999999999999978e-02,2.908426719228077939e+00,2.908426719228077939e+00
3.200000000000000067e-02,2.905519746237592571e+00,2.905519746237592571e+00
3.300000000000000155e-02,2.902615678767095808e+00,2.902615678767095808e+00
3.400000000000000244e-02,2.899714513912519998e+00,2.899714513912519998e+00
3.500000000000000333e-02,2.896816248772699609e+00,2.896816248772699609e+00
3.600000000000000422e-02,2.893920880449369015e+00,2.893920880449369015e+00
3.699999999999999817e-02,2.891028406047160715e+00,2.891028406047160715e+00
3.799999999999999906e-02,2.888138822673598671e+00,2.888138822673598671e+00
3.899999999999999994e-02,2.885252127439100089e+00,2.885252127439100089e+00
4.000000000000000083e-02,2.882368317456969642e+00,2.882368317456969642e+00
4.100000000000000172e-02,2.879487389843396805e+00,2.879487389843396805e+00
4.200000000000000261e-02,2.876609341717453638e+00,2.876609341717453638e+00
4.300000000000000350e-02,2.873734170201092120e+00,2.873734170201092120e+00
4.399999999999999745e-02,2.870861872419140148e+00,2.870861872419140148e+00
4.499999999999999833e-02,2.867992445499299770e+00,2.867992445499299770e+00
4.599999999999999922e-02,2.865125886572144065e+00,2.865125886572144065e+00
4.700000000000000011e-02,2.862262192771113156e+00,2.862262192771113156e+00
4.800000000000000100e-02,2.859401361232514205e+00,2.859401361232514205e+00
4.900000000000000189e-02,2.856543389095514751e+00,2.856543389095514751e+00
5.000000000000000278e-02,2.853688273502141826e+00,2.853688273502141826e+00
5.100000000000000366e-02,2.850836011597281061e+00,2.850836011597281061e+00
5.200000000000000455e-02,2.847986600528668699e+00,2.847986600528668699e+00
5.299999999999999850e-02,2.845140037446894699e+00,2.845140037446894699e+00
5.399999999999999939e-02,2.842296319505394742e+00,2.842296319505394742e+00
5.500000000000000028e-02,2.839455443860451567e+00,2.839455443860451567e+00
5.600000000000000117e-02,2.836617407671188751e+00,2.836617407671188751e+00
5.700000000000000205e-02,2.833782208099569822e+00,2.833782208099569822e+00
5.800000000000000294e-02,2.830949842310395592e+00,2.830949842310395592e+00
5.900000000000000383e-02,2.828120307471299277e+00,2.828120307471299277e+00
5.999999999999999778e-02,2.825293600752746048e+00,2.825293600752746048e+00
6.099999999999999867e-02,2.822469719328029036e+00,2.822469719328029036e+00
6.199999999999999956e-02,2.819648660373266669e+00,2.819648660373266669e+00
6.300000000000000044e-02,2.816830421067399559e+00,2.816830421067399559e+00
