time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2,mean_particle_number_imag,variance_imag,factorial_second_moment_imag
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.978064095903883546e-01,9.979271505680104015e-01,9.957375741808420777e-01,9.984260550831579595e-01,7.394491684212284755e-05,9.984260578213930426e-01,1.000120471110035991e+00,8.932057107271832667e-04,9.854321552091379211e-04,1.874719210974597986e-03
2.000000000000000042e-03,9.967092091182846447e-01,9.968336057094913105e-01,9.935452056739197957e-01,9.969028838978390983e-01,1.514408629001970429e-04,9.969028954006319276e-01,1.000116725104490678e+00,2.904902491218478659e-03,3.177842029831765697e-03,6.063625667789496881e-03
3.000000000000000062e-03,9.968675202264628554e-01,9.969891968135997651e-01,9.938611241512432803e-01,9.972462678358299248e-01,-1.687186726527806907e-03,9.972476950645421390e-01,1.000117003140643890e+00,2.324934053025339616e-03,2.506249760850243376e-03,4.816618196083764618e-03
4.000000000000000083e-03,9.963157454051705386e-01,9.967144861226477914e-01,9.930392138789598810e-01,9.969811178509723204e-01,-2.941334027537948360e-03,9.969854566628522097e-01,1.000397069759149993e+00,2.142750750314771808e-03,2.361621567545878729e-03,4.488583439265807738e-03
5.000000000000000104e-03,9.967252722035818691e-01,9.973402455830959745e-01,9.940749433687825487e-01,9.975945686611403795e-01,-5.121895711313777418e-03,9.976077171102297747e-01,1.000617714186844642e+00,1.139412144849667220e-03,1.226858500861947344e-03,2.358808116466983192e-03
6.000000000000000125e-03,9.958510352234708485e-01,9.967584594283857014e-01,9.926214006324491912e-01,9.965263279539865460e-01,-5.501152210343866929e-03,9.965415119206513239e-01,1.000909648820005327e+00,2.303894121747489167e-03,2.508374200329703194e-03,4.793150770957227240e-03
7.000000000000000146e-03,9.945708465620229921e-01,9.953611766688692519e-01,9.899568959743194618e-01,9.960109546776384493e-01,-6.438585802914340191e-03,9.960317651686627638e-01,1.000794328795640897e+00,2.145451846527192136e-03,2.445335370776857871e-03,4.567491242766875958e-03
8.000000000000000167e-03,9.941455073443700163e-01,9.949969991769997968e-01,9.891767808914060378e-01,9.967878861834494897e-01,-8.723485028763272586e-03,9.968260576615745050e-01,1.000861549458687660e+00,2.672487108531562794e-05,6.072127107296050244e-05,8.713322103529285963e-05
9.000000000000001055e-03,9.936915136533609472e-01,9.944349654120313575e-01,9.881662044577989024e-01,9.965027070558787337e-01,-9.993016535866712513e-03,9.965528112193454691e-01,1.000752848863518230e+00,2.675959251757580276e-04,5.723622331278182445e-04,8.365819078228011775e-04
1.000000000000000021e-02,9.923918388825243575e-01,9.930832104487191669e-01,9.855266379156009116e-01,9.972075210884326912e-01,-1.214331210155662408e-02,9.972814548281405678e-01,1.000695620556117271e+00,-2.509089721812059279e-03,-2.347160436070211235e-03,-4.818071040158774035e-03
1.099999999999999936e-02,9.909043607791688801e-01,9.914386975909595945e-01,9.824194222276811939e-01,9.964252133141535683e-01,-1.294693275193894988e-02,9.965093219814050718e-01,1.000537707111431640e+00,-2.523250935344924228e-03,-2.389179671575320484e-03,-4.866529446577200213e-03
