time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2,mean_particle_number_imag,variance_imag,factorial_second_moment_imag
0.000000000000000000e+00,1.011928611167213665e+00,8.692856896496725660e-02,9.610954901293976282e-02,1.568281617661204316e-02,-6.805348696203555869e-02,6.983715208197817381e-02,9.385702599431716697e-02,5.375800297276427109e-02,2.118718099971788615e-01,2.669123295991191469e-01
1.000000000000000021e-03,1.013690871127045812e+00,8.016289787484276452e-02,9.065094135811806175e-02,1.557663887203079509e-02,-6.800741333395358967e-02,6.976847387556123214e-02,8.821882061846197942e-02,5.822600446525516560e-02,2.110378182860868090e-01,2.708581521980951701e-01
2.000000000000000042e-03,1.018303235571205834e+00,7.075721360183884201e-02,8.571067289194596317e-02,1.553746568735035576e-02,-6.711943549403816267e-02,6.889434999347870958e-02,8.265719385349779014e-02,6.070242757480023149e-02,2.092174981145941692e-01,2.721420273526856670e-01
3.000000000000000062e-03,1.014805536949821230e+00,8.022514102451672180e-02,9.178845946571548287e-02,1.622022080034839220e-02,-6.750269800879971083e-02,6.942412982010841282e-02,8.912969587538285832e-02,5.883385448018010888e-02,2.005667379423623775e-01,2.611427260353559321e-01
4.000000000000000083e-03,1.010907391602931638e+00,1.196672302110131092e-01,1.273554155907386798e-01,1.780232573692488648e-02,-6.693854157131724769e-02,6.926536760415370753e-02,1.246219875238689379e-01,5.777696266494032618e-02,2.098763926979342331e-01,2.689137472777035076e-01
5.000000000000000104e-03,1.011976817451624600e+00,1.247574725110289773e-01,1.331805733604795594e-01,1.702708899597071140e-02,-6.580959436178424049e-02,6.797664650259889474e-02,1.300468247432032265e-01,6.080428240217548852e-02,2.053356799758627727e-01,2.675964459592540257e-01
6.000000000000000125e-03,1.008654201703273801e+00,1.527847139511755437e-01,1.576281255213588250e-01,1.582736756521550825e-02,-6.752308052752588330e-02,6.935324050086759395e-02,1.549348468135361145e-01,6.233526562237121788e-02,2.292278405601884950e-01,2.926420301064059926e-01
7.000000000000000146e-03,1.006796353584519688e+00,1.528387319476429695e-01,1.555859091359075574e-01,1.425545993715828137e-02,-6.724921163097889731e-02,6.874354226404187640e-02,1.534924414460196451e-01,6.399505307678787780e-02,2.348592757952552013e-01,2.997241948887829910e-01
8.000000000000000167e-03,1.004225170594493344e+00,1.578399584777043785e-01,1.581120145226710128e-01,1.573210503788219361e-02,-6.621403469693284971e-02,6.805731055345623504e-02,1.567843344788628912e-01,6.301560613117380971e-02,2.168920370644138451e-01,2.804401465676268912e-01
9.000000000000001055e-03,1.003741384243054702e+00,1.736581273450996665e-01,1.734467056445170019e-01,1.551544370382424744e-02,-6.689527350231691538e-02,6.867100268873553570e-02,1.721560916339416047e-01,6.298256822083014850e-02,2.180173512694234816e-01,2.814712034669106799e-01
