time,mean_particle_number,variance
0.000000000000000000e+00,9.995803935523113637e+01,9.780674989838371403e+01
1.000000000000000021e-03,9.985803989805114611e+01,9.770836006215722591e+01
2.000000000000000042e-03,9.975845830268394820e+01,9.762020065653268830e+01
3.000000000000000062e-03,9.965854044725637095e+01,9.751825412069410959e+01
4.000000000000000083e-03,9.955915961049522878e+01,9.743084852623178449e+01
5.000000000000000104e-03,9.945949477740707323e+01,9.733091610266455973e+01
6.000000000000000125e-03,9.936035214170819074e+01,9.724561699034165940e+01
7.000000000000000146e-03,9.926154657307137086e+01,9.716687537243706174e+01
8.000000000000000167e-03,9.916257245127253839e+01,9.707913809187448351e+01
9.000000000000001055e-03,9.906350864908719700e+01,9.698569173922078335e+01
1.000000000000000021e-02,9.896452791645671709e+01,9.689242645276863186e+01
1.099999999999999936e-02,9.886595546076658536e+01,9.680816706075893308e+01
1.200000000000000025e-02,9.876722423458868150e+01,9.671552536422132107e+01
1.300000000000000114e-02,9.866879501701882305e+01,9.662964182034738769e+01
1.400000000000000029e-02,9.857000994215177059e+01,9.653099714773452433e+01
1.499999999999999944e-02,9.847145915838804342e+01,9.643594335846319154e+01
1.600000000000000033e-02,9.837297483922469610e+01,9.633779596203385154e+01
1.700000000000000122e-02,9.827472895392753571e+01,9.624482026135228807e+01
1.800000000000000211e-02,9.817675037058792498e+01,9.615848056399954658e+01
1.899999999999999953e-02,9.807848137717334680e+01,9.605904576593638922e+01
2.000000000000000042e-02,9.798054124022623057e+01,9.596811616338891326e+01
2.100000000000000130e-02,9.788227963160561274e+01,9.586395921865005221e+01
2.199999999999999872e-02,9.778441637302557865e+01,9.577016369815646613e+01
2.299999999999999961e-02,9.768680224008471669e+01,9.567815665375383105e+01
2.400000000000000050e-02,9.758928687056172180e+01,9.558683996133004257e+01
2.500000000000000139e-02,9.749141681951907401e+01,9.548309499174865778e+01
2.600000000000000228e-02,9.739404172738805698e+01,9.539132819569204003e+01
2.699999999999999969e-02,9.729676433644685574e+01,9.529924106194448541e+01
2.800000000000000058e-02,9.719962593524286376e+01,9.520900643257118645e+01
2.900000000000000147e-02,9.710230685736154044e+01,9.511180001260436256e+01
2.999999999999999889e-02,9.700551822499789978e+01,9.502858412431305624e+01
3.099999999999999978e-02,9.690823885951692773e+01,9.492636930977641896e+01
3.200000000000000067e-02,9.681125063730289071e+01,9.482719981666923559e+01
3.300000000000000155e-02,9.671422668606814455e+01,9.472744074962974992e+01
3.400000000000000244e-02,9.661731216409255296e+01,9.462878180976258591e+01
3.500000000000000333e-02,9.652075737374686071e+01,9.453629593980258505e+01
3.600000000000000422e-02,9.642448967816304162e+01,9.444853276616231597e+01
3.699999999999999817e-02,9.632846375007875395e+01,9.436779680714244023e+01
3.799999999999999906e-02,9.623211013604249331e+01,9.427239673255644448e+01
3.899999999999999994e-02,9.613602465469683978e+01,9.418304581385200436e+01
4.000000000000000083e-02,9.603893149829039544e+01,9.406363690122270782e+01
