time,mean_particle_number,variance
0.000000000000000000e+00,5.000000000000000711e+01,0.000000000000000000e+00
1.000000000000000021e-03,4.995299999999999585e+01,4.679100000066682696e-02
2.000000000000000042e-03,4.989699999999999847e+01,1.103910000001633307e-01
3.000000000000000062e-03,4.985199999999999676e+01,1.480960000003506138e-01
4.000000000000000083e-03,4.980700000000000216e+01,1.957509999997455452e-01
5.000000000000000104e-03,4.975500000000000256e+01,2.569749999997839041e-01
6.000000000000000125e-03,4.969899999999999807e+01,3.103989999999612337e-01
7.000000000000000146e-03,4.966199999999999903e+01,3.537560000004305039e-01
8.000000000000000167e-03,4.961099999999999710e+01,4.076790000003711611e-01
9.000000000000001055e-03,4.955400000000000205e+01,4.550839999997151608e-01
1.000000000000000021e-02,4.950900000000000034e+01,5.219189999997979612e-01
1.099999999999999936e-02,4.946800000000000352e+01,5.749759999994239479e-01
1.200000000000000025e-02,4.942799999999999727e+01,6.208160000001043954e-01
1.300000000000000114e-02,4.937899999999999778e+01,6.513589999999567226e-01
1.400000000000000029e-02,4.934899999999999665e+01,6.911990000003243040e-01
1.499999999999999944e-02,4.930100000000000193e+01,7.303989999995792459e-01
1.600000000000000033e-02,4.926299999999999812e+01,7.598310000003039022e-01
1.700000000000000122e-02,4.921600000000000108e+01,8.233439999999063730e-01
1.800000000000000211e-02,4.916100000000000136e+01,8.690789999996013648e-01
1.899999999999999953e-02,4.911800000000000210e+01,9.040759999998044805e-01
2.000000000000000042e-02,4.907600000000000051e+01,9.442240000003039313e-01
2.100000000000000130e-02,4.902000000000000313e+01,1.003599999999551073e+00
2.199999999999999872e-02,4.898400000000000176e+01,1.037743999999747757e+00
2.299999999999999961e-02,4.892799999999999727e+01,1.074816000000282656e+00
2.400000000000000050e-02,4.888900000000000290e+01,1.112678999999388907e+00
2.500000000000000139e-02,4.883500000000000085e+01,1.149774999999863212e+00
2.600000000000000228e-02,4.880199999999999960e+01,1.174795999999787455e+00
2.699999999999999969e-02,4.875099999999999767e+01,1.228999000000385422e+00
2.800000000000000058e-02,4.869700000000000273e+01,1.301191000000017084e+00
2.900000000000000147e-02,4.865599999999999881e+01,1.343663999999989755e+00
2.999999999999999889e-02,4.860300000000000153e+01,1.395390999999563064e+00
3.099999999999999978e-02,4.855400000000000205e+01,1.433083999999780644e+00
3.200000000000000067e-02,4.849099999999999966e+01,1.481918999999834341e+00
3.300000000000000155e-02,4.845100000000000051e+01,1.505599000000074739e+00
3.400000000000000244e-02,4.839099999999999824e+01,1.510119000000031519e+00
3.500000000000000333e-02,4.835300000000000153e+01,1.566390999999839551e+00
3.600000000000000422e-02,4.831499999999999773e+01,1.579775000000154250e+00
3.699999999999999817e-02,4.826400000000000290e+01,1.624303999999938242e+00
3.799999999999999906e-02,4.822200000000000131e+01,1.650716000000102213e+00
3.899999999999999994e-02,4.815899999999999892e+01,1.709718999999950029e+00
4.000000000000000083e-02,4.810799999999999699e+01,1.778336000000308559e+00
4.100000000000000172e-02,4.806799999999999784e+01,1.819375999999920168e+00
4.200000000000000261e-02,4.801500000000000057e+01,1.872775000000274304e+00
4.300000000000000350e-02,4.795499999999999829e+01,1.916975000000547880e+00
4.399999999999999745e-02,4.790800000000000125e+01,1.969536000000061904e+00
4.499999999999999833e-02,4.786199999999999477e+01,1.976956000000427593e+00
4.599999999999999922e-02,4.780899999999999750e+01,2.028518999999960215e+00
4.700000000000000011e-02,4.775099999999999767e+01,2.078999000000294473e+00
4.800000000000000100e-02,4.770199999999999818e+01,2.085195999999996275e+00
4.900000000000000189e-02,4.765899999999999892e+01,2.116719000000102824e+00
5.000000000000000278e-02,4.760900000000000176e+01,2.148118999999496737e+00
5.100000000000000366e-02,4.755899999999999750e+01,2.222519000000374945e+00
5.200000000000000455e-02,4.750999999999999801e+01,2.281899999999950523e+00
5.299999999999999850e-02,4.745600000000000307e+01,2.292063999999754742e+00
5.399999999999999939e-02,4.741299999999999670e+01,2.322431000000506174e+00
5.500000000000000028e-02,4.736599999999999966e+01,2.330043999999816151e+00
5.600000000000000117e-02,4.730799999999999983e+01,2.373136000000158674e+00
5.700000000000000205e-02,4.726800000000000068e+01,2.414175999999770283e+00
5.800000000000000294e-02,4.722899999999999920e+01,2.464559000000008382e+00
5.900000000000000383e-02,4.719100000000000250e+01,2.496518999999807420e+00
5.999999999999999778e-02,4.714699999999999847e+01,2.559391000000232452e+00
6.099999999999999867e-02,4.710799999999999699e+01,2.612336000000141212e+00
6.199999999999999956e-02,4.705100000000000193e+01,2.676398999999946682e+00
6.300000000000000044e-02,4.699499999999999744e+01,2.672975000000405998e+00
6.400000000000000133e-02,4.695199999999999818e+01,2.729695999999876221e+00
6.500000000000000222e-02,4.689800000000000324e+01,2.797595999999430205e+00
6.600000000000000311e-02,4.684499999999999886e+01,2.874975000000176806e+00
6.700000000000000400e-02,4.678799999999999670e+01,2.967055999999956839e+00
6.800000000000000488e-02,4.674600000000000222e+01,3.019483999999920343e+00
6.900000000000000577e-02,4.670000000000000284e+01,3.061999999999898137e+00
7.000000000000000666e-02,4.665400000000000347e+01,3.142283999999563093e+00
7.100000000000000755e-02,4.660900000000000176e+01,3.202119000000038795e+00
7.200000000000000844e-02,4.655700000000000216e+01,3.246750999999676424e+00
7.299999999999999545e-02,4.650600000000000023e+01,3.329964000000018132e+00
7.399999999999999634e-02,4.647599999999999909e+01,3.335423999999875377e+00
7.499999999999999722e-02,4.642999999999999972e+01,3.391099999999823922e+00
7.599999999999999811e-02,4.639300000000000068e+01,3.418550999999752094e+00
7.699999999999999900e-02,4.634799999999999898e+01,3.410895999999866035e+00
7.799999999999999989e-02,4.629399999999999693e+01,3.471564000000398664e+00
7.900000000000000078e-02,4.625000000000000000e+01,3.535499999999956344e+00
8.000000000000000167e-02,4.619500000000000028e+01,3.578974999999900319e+00
8.100000000000000255e-02,4.614099999999999824e+01,3.593119000000115193e+00
8.200000000000000344e-02,4.608899999999999864e+01,3.617079000000103406e+00
8.300000000000000433e-02,4.603300000000000125e+01,3.671910999999909109e+00
8.400000000000000522e-02,4.598299999999999699e+01,3.722711000000344939e+00
8.500000000000000611e-02,4.594800000000000040e+01,3.777296000000205822e+00
8.600000000000000699e-02,4.590200000000000102e+01,3.862395999999989726e+00
8.700000000000000788e-02,4.585300000000000153e+01,3.935390999999981432e+00
8.799999999999999489e-02,4.582000000000000028e+01,3.959599999999682041e+00
8.899999999999999578e-02,4.577900000000000347e+01,3.996158999999806838e+00
8.999999999999999667e-02,4.573799999999999955e+01,4.039355999999770575e+00
9.099999999999999756e-02,4.569299999999999784e+01,4.114751000000524073e+00
9.199999999999999845e-02,4.565899999999999892e+01,4.126719000000321103e+00
9.299999999999999933e-02,4.561800000000000210e+01,4.142075999999633495e+00
9.400000000000000022e-02,4.556400000000000006e+01,4.175903999999718508e+00
9.500000000000000111e-02,4.552100000000000080e+01,4.197558999999728258e+00
9.600000000000000200e-02,4.546099999999999852e+01,4.262479000000439555e+00
9.700000000000000289e-02,4.542300000000000182e+01,4.276070999999774358e+00
9.800000000000000377e-02,4.539000000000000057e+01,4.277900000000045111e+00
9.900000000000000466e-02,4.534400000000000119e+01,4.277664000000186206e+00
1.000000000000000056e-01,4.529699999999999704e+01,4.402791000000433996e+00
1.010000000000000064e-01,4.526500000000000057e+01,4.422775000000001455e+00
1.020000000000000073e-01,4.522399999999999665e+01,4.475824000000557135e+00
1.030000000000000082e-01,4.517399999999999949e+01,4.493723999999929219e+00
