time,mean_particle_number,variance
0.000000000000000000e+00,4.997326845061124345e+01,4.897776094334449226e+01
1.000000000000000021e-03,4.992332018755885770e+01,4.892980439073289745e+01
2.000000000000000042e-03,4.987342182071351715e+01,4.888189107018797586e+01
3.000000000000000062e-03,4.982357332729442589e+01,4.883402365712663595e+01
4.000000000000000083e-03,4.977377465745190932e+01,4.878620210884309927e+01
5.000000000000000104e-03,4.972402576138825481e+01,4.873842638404221361e+01
6.000000000000000125e-03,4.967432658935445744e+01,4.869069644087767301e+01
7.000000000000000146e-03,4.962467709165143503e+01,4.864301223751544967e+01
8.000000000000000167e-03,4.957507721862961603e+01,4.859537373217699496e+01
9.000000000000001055e-03,4.952552692068911711e+01,4.854778088310740713e+01
1.000000000000000021e-02,4.947602614827971479e+01,4.850023364858316199e+01
1.099999999999999936e-02,4.942657485190056121e+01,4.845273198691984362e+01
1.200000000000000025e-02,4.937717298210038308e+01,4.840527585646077569e+01
1.300000000000000114e-02,4.932782048947732534e+01,4.835786521558839013e+01
1.400000000000000029e-02,4.927851732467883039e+01,4.831050002272058919e+01
1.499999999999999944e-02,4.922926343840175889e+01,4.826318023630528842e+01
1.600000000000000033e-02,4.918005878139227605e+01,4.821590581481814297e+01
1.700000000000000122e-02,4.913090330444564557e+01,4.816867671678392071e+01
1.800000000000000211e-02,4.908179695840639312e+01,4.812149290075103636e+01
1.899999999999999953e-02,4.903273969416820677e+01,4.807435432530019170e+01
2.000000000000000042e-02,4.898373146267380918e+01,4.802726094904983256e+01
2.100000000000000130e-02,4.893477221491497176e+01,4.798021273065114656e+01
2.199999999999999872e-02,4.888586190193239389e+01,4.793320962879079161e+01
2.299999999999999961e-02,4.883700047481583084e+01,4.788625160218225574e+01
2.400000000000000050e-02,4.878818788470379531e+01,4.783933860958586592e+01
2.500000000000000139e-02,4.873942408278369243e+01,4.779247060978332229e+01
2.600000000000000228e-02,4.869070902029174164e+01,4.774564756159179524e+01
2.699999999999999969e-02,4.864204264851287007e+01,4.769886942386710871e+01
2.800000000000000058e-02,4.859342491878069836e+01,4.765213615549509996e+01
2.900000000000000147e-02,4.854485578247749089e+01,4.760544771539525755e+01
2.999999999999999889e-02,4.849633519103412027e+01,4.755880406252072135e+01
3.099999999999999978e-02,4.844786309592996787e+01,4.751220515586283000e+01
3.200000000000000067e-02,4.839943944869298065e+01,4.746565095443565951e+01
3.300000000000000155e-02,4.835106420089943668e+01,4.741914141730012489e+01
3.400000000000000244e-02,4.830273730417415123e+01,4.737267650353805948e+01
3.500000000000000333e-02,4.825445871019016408e+01,4.732625617227449766e+01
3.600000000000000422e-02,4.820622837066894562e+01,4.727988038265993964e+01
3.699999999999999817e-02,4.815804623738007706e+01,4.723354909388581291e+01
3.799999999999999906e-02,4.810991226214147787e+01,4.718726226517264877e+01
3.899999999999999994e-02,4.806182639681915703e+01,4.714101985577281084e+01
4.000000000000000083e-02,4.801378859332727700e+01,4.709482182497595204e+01
4.100000000000000172e-02,4.796579880362791215e+01,4.704866813210628607e+01
4.200000000000000261e-02,4.791785697973138980e+01,4.700255873651349248e+01
4.300000000000000350e-02,4.786996307369586390e+01,4.695649359758544961e+01
4.399999999999999745e-02,4.782211703762732924e+01,4.691047267475005356e+01
4.499999999999999833e-02,4.777431882367985594e+01,4.686449592745475456e+01
4.599999999999999922e-02,4.772656838405520574e+01,4.681856331518883962e+01
4.700000000000000011e-02,4.767886567100287465e+01,4.677267479747661127e+01
4.800000000000000100e-02,4.763121063682024925e+01,4.672683033386510942e+01
4.900000000000000189e-02,4.758360323385220170e+01,4.668102988394639397e+01
5.000000000000000278e-02,4.753604341449134552e+01,4.663527340734208337e+01
5.100000000000000366e-02,4.748853113117787927e+01,4.658956086370199046e+01
5.200000000000000455e-02,4.744106633639946580e+01,4.654389221271731003e+01
5.299999999999999850e-02,4.739364898269138138e+01,4.649826741410288378e+01
5.399999999999999939e-02,4.734627902263621735e+01,4.645268642761675437e+01
5.500000000000000028e-02,4.729895640886402930e+01,4.640714921303879237e+01
5.600000000000000117e-02,4.725168109405210970e+01,4.636165573012794994e+01
5.700000000000000205e-02,4.720445303092500922e+01,4.631620593845718759e+01
5.800000000000000294e-02,4.715727217225477119e+01,4.627079979809332144e+01
5.900000000000000383e-02,4.711013847086088902e+01,4.622543726952198995e+01
5.999999999999999778e-02,4.706305187960938952e+01,4.618011831225749120e+01
6.099999999999999867e-02,4.701601235141364299e+01,4.613484288620156804e+01
6.199999999999999956e-02,4.696901983923429214e+01,4.608961095165841471e+01
6.300000000000000044e-02,4.692207429607863389e+01,4.604442246849248477e+01
6.400000000000000133e-02,4.687517567500111682e+01,4.599927739665599802e+01
6.500000000000000222e-02,4.682832392910327002e+01,4.595417569650544465e+01
6.600000000000000311e-02,4.678151901153329106e+01,4.590911732814493007e+01
6.700000000000000400e-02,4.673476087548610280e+01,4.586410225154486398e+01
6.800000000000000488e-02,4.668804947420370866e+01,4.581913042711903472e+01
6.900000000000000577e-02,4.664138476097479469e+01,4.577420181521392806e+01
7.000000000000000666e-02,4.659476668913437436e+01,4.572931637581223185e+01
7.100000000000000755e-02,4.654819521206458433e+01,4.568447406936820698e+01
7.200000000000000844e-02,4.650167028319396678e+01,4.563967485642524480e+01
7.299999999999999545e-02,4.645519185599744105e+01,4.559491869703333577e+01
7.399999999999999634e-02,4.640875988399654517e+01,4.555020555168403007e+01
7.499999999999999722e-02,4.636237432075962772e+01,4.550553538104531981e+01
7.599999999999999811e-02,4.631603511990071809e+01,4.546090814533863522e+01
7.699999999999999900e-02,4.626974223508076989e+01,4.541632380506280242e+01
7.799999999999999989e-02,4.622349562000704282e+01,4.537178232101678077e+01
7.900000000000000078e-02,4.617729522843274736e+01,4.532728365359480449e+01
8.000000000000000167e-02,4.613114101415744273e+01,4.528282776329797343e+01
8.100000000000000255e-02,4.608503293102706522e+01,4.523841461100300876e+01
8.200000000000000344e-02,4.603897093293350906e+01,4.519404415732151392e+01
8.300000000000000433e-02,4.599295497381459796e+01,4.514971636276595746e+01
8.400000000000000522e-02,4.594698500765455407e+01,4.510543118826444697e+01
8.500000000000000611e-02,4.590106098848345084e+01,4.506118859467278526e+01
8.600000000000000699e-02,4.585518287037701413e+01,4.501698854250525983e+01
8.700000000000000788e-02,4.580935060745728293e+01,4.497283099273772677e+01
8.799999999999999489e-02,4.576356415389209786e+01,4.492871590641198054e+01
8.899999999999999578e-02,4.571782346389479557e+01,4.488464324411870621e+01
8.999999999999999667e-02,4.567212849172467770e+01,4.484061296687650611e+01
9.099999999999999756e-02,4.562647919168704647e+01,4.479662503587132960e+01
9.199999999999999845e-02,4.558087551813230220e+01,4.475267941183437870e+01
9.299999999999999933e-02,4.553531742545682448e+01,4.470877605580244563e+01
9.400000000000000022e-02,4.548980486810266655e+01,4.466491492908380678e+01
9.500000000000000111e-02,4.544433780055714323e+01,4.462109599258246817e+01
9.600000000000000200e-02,4.539891617735315776e+01,4.457731920733431252e+01
9.700000000000000289e-02,4.535353995306915209e+01,4.453358453473128975e+01
9.800000000000000377e-02,4.530820908232894340e+01,4.448989193589113711e+01
9.900000000000000466e-02,4.526292351980148254e+01,4.444624137185383006e+01
1.000000000000000056e-01,4.521768322020137276e+01,4.440263280406202284e+01
1.010000000000000064e-01,4.517248813828832965e+01,4.435906619387924366e+01
1.020000000000000073e-01,4.512733822886706037e+01,4.431554150235297129e+01
1.030000000000000082e-01,4.508223344678781785e+01,4.427205869098065705e+01
1.040000000000000091e-01,4.503717374694587505e+01,4.422861772131864200e+01
1.049999999999999961e-01,4.499215908428135435e+01,4.418521855447579583e+01
1.059999999999999970e-01,4.494718941377961130e+01,4.414186115198617699e+01
1.069999999999999979e-01,4.490226469047114932e+01,4.409854547554573401e+01
1.079999999999999988e-01,4.485738486943106551e+01,4.405527148639544066e+01
1.089999999999999997e-01,4.481254990577949826e+01,4.401203914609482126e+01
