time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2,mean_particle_number_imag,variance_imag,factorial_second_moment_imag
0.000000000000000000e+00,1.011928611167213665e+00,8.692856896496725660e-02,9.610954901293976282e-02,1.568281617661204316e-02,-6.805348696203555869e-02,6.983715208197817381e-02,9.385702599431716697e-02,5.375800297276427109e-02,2.118718099971788615e-01,2.669123295991191469e-01
1.000000000000000021e-03,1.014703959371227260e+00,7.931248077612407243e-02,9.083585443742180077e-02,1.558448028011911318e-02,-6.804144007743462286e-02,6.980339242051598891e-02,8.822234465707048945e-02,5.828200520847185567e-02,2.114019146697372342e-01,2.713978723515271252e-01
2.000000000000000042e-03,1.020338243854426175e+00,6.900838771279871331e-02,8.606115024551772019e-02,1.555307968818959129e-02,-6.718706453283747326e-02,6.896375807862302476e-02,8.266445681391222655e-02,6.082043640742131746e-02,2.099356141841652590e-01,2.732300123255601010e-01
3.000000000000000062e-03,1.017852416460475640e+00,7.765781822421780056e-02,9.234700470308492004e-02,1.624430566401525999e-02,-6.760432758675276321e-02,6.952857380216380390e-02,8.913600993279577334e-02,5.900795501529172010e-02,2.016001208448552351e-01,2.627149450349749449e-01
4.000000000000000083e-03,1.014958788913916443e+00,1.165518219775707465e-01,1.283696332850221833e-01,1.783689956098375926e-02,-6.707312437638254798e-02,6.940431542460674674e-02,1.246136116496942697e-01,5.800640457946092121e-02,2.113298280994065914e-01,2.710716438023862973e-01
5.000000000000000104e-03,1.017048410653937029e+00,1.209015703012068510e-01,1.345067501345195704e-01,1.706906903187042218e-02,-6.597544437344113333e-02,6.814772467139150469e-02,1.300351696881558716e-01,6.110547542118866665e-02,2.070965366762670956e-01,2.702855145738247145e-01
6.000000000000000125e-03,1.014724591198714609e+00,1.484987399694734922e-01,1.595081070459901385e-01,1.587476200035149027e-02,-6.772625538949736401e-02,6.956186985447719573e-02,1.549124742083470008e-01,6.270596230158040352e-02,2.316066586768480706e-01,2.961592602996540591e-01
7.000000000000000146e-03,1.013869455816971632e+00,1.478453271189497098e-01,1.577547188326682837e-01,1.430593591864264685e-02,-6.748533194330230689e-02,6.898499713710226633e-02,1.534681577543140218e-01,6.443931957983498049e-02,2.377056529203596114e-01,3.039324490917710286e-01
8.000000000000000167e-03,1.012293037076583913e+00,1.522248256961484802e-01,1.606345830936636576e-01,1.579502272173870930e-02,-6.648011722807009583e-02,6.833073049103298435e-02,1.567568584457404712e-01,6.351691459473460255e-02,2.198775236058012061e-01,2.849560697727423486e-01
9.000000000000001055e-03,1.012817826429315504e+00,1.676197834143853260e-01,1.765636761370649732e-01,1.558541874271298852e-02,-6.719715814214814731e-02,6.898089112041519422e-02,1.721229136513857949e-01,6.354707216707905504e-02,2.213895437022626311e-01,2.865656865515993079e-01
1.000000000000000021e-02,1.012213831784703588e+00,1.547356712885346042e-01,1.625046134995223046e-01,1.602631052330414502e-02,-6.646807134289740848e-02,6.837285380203074470e-02,1.586065651262127951e-01,6.777954898478603940e-02,2.223260595575603238e-01,2.917613045618328571e-01
1.099999999999999936e-02,1.012206148742779144e+00,1.610204836734276945e-01,1.686031159955557190e-01,1.473516161147313090e-02,-6.607027893901197546e-02,6.769347639761959246e-02,1.645612790995532593e-01,6.908333002817652890e-02,2.370583086916415450e-01,3.078281215237589352e-01
1.200000000000000025e-02,1.008134605312201115e+00,1.569059254009015358e-01,1.603564973782685144e-01,1.777630077259810537e-02,-6.417961375237679622e-02,6.659594349930141044e-02,1.577791151924503588e-01,6.892173197489544212e-02,1.817117306337423799e-01,2.517547647827360069e-01
1.300000000000000114e-02,1.007598362014853421e+00,1.351580516293724443e-01,1.376336684852419723e-01,1.994667829392061248e-02,-6.440084319207345365e-02,6.741912620919376931e-02,1.355656872489919007e-01,7.197555324061616355e-02,2.198299452883363259e-01,2.928992911484356032e-01
1.400000000000000029e-02,1.010074031543929163e+00,1.224433030712710480e-01,1.276758334423553909e-01,1.930757529106535975e-02,-6.222891864755057678e-02,6.515535879468108138e-02,1.251417690334125643e-01,7.030638153391940981e-02,2.408920032181040283e-01,3.126149221626478569e-01
1.499999999999999944e-02,1.006842346625390849e+00,7.513459712688819181e-02,7.731184037209681836e-02,1.974493070125334093e-02,-6.252380731793048818e-02,6.556743681071416918e-02,7.626461201647552479e-02,6.864343440944875585e-02,2.439548021027963254e-01,3.135376008558185545e-01
1.600000000000000033e-02,1.000676936751375479e+00,7.299904630942233297e-02,6.946172582290162378e-02,1.840862487868445696e-02,-6.059152992694635115e-02,6.332622654802791407e-02,6.936777883786393595e-02,6.492084011518677034e-02,2.333320320261126346e-01,2.983407667465076685e-01
1.700000000000000122e-02,9.975264053283969812e-01,6.913914584988045675e-02,6.224291488546353224e-02,1.751769326690192502e-02,-6.016435019877493934e-02,6.266273703114227933e-02,6.255198868225464448e-02,6.654889152655611706e-02,2.510120124538426922e-01,3.172316740134364377e-01
1.800000000000000211e-02,9.948763169873444667e-01,1.167565940509640576e-02,1.478795791827536678e-03,1.774581623203582217e-02,-5.956080362860951410e-02,6.214823668155815273e-02,1.494066818954843884e-03,7.141031247815377014e-02,2.643027672055768829e-01,3.349813120737851757e-01
1.899999999999999953e-02,9.879332913428356955e-01,-2.487121253857582648e-02,-4.224506122034724087e-02,1.869562604412190743e-02,-6.050373022808058776e-02,6.332635947766145079e-02,-4.328333368531315367e-02,7.384270771324691340e-02,2.643974589651457707e-01,3.364580897975288920e-01
2.000000000000000042e-02,9.909011256725819283e-01,5.729814903759455902e-03,-8.267487334453094139e-03,1.901823064087834747e-02,-6.037849385427180443e-02,6.330288790268563670e-02,-8.420015572514172666e-03,7.057774029267743776e-02,2.950156286922109850e-01,3.643090130064159382e-01
2.100000000000000130e-02,9.879164372869564392e-01,1.255920068060123462e-02,-5.188840008850548018e-03,1.974255559010343677e-02,-5.952252861741497841e-02,6.271124232734757997e-02,-5.316549443474012128e-03,7.622657321596106039e-02,2.954080183923741831e-01,3.697924144526242851e-01
2.199999999999999872e-02,9.905976049770333081e-01,5.388801734374948360e-02,3.826994304397340202e-02,1.894242177438052246e-02,-6.138892625134690501e-02,6.424496563133826055e-02,3.899987980998771003e-02,7.939826389145572538e-02,2.994535355683634603e-01,3.773587317773287597e-01
2.299999999999999961e-02,9.924995709460101567e-01,5.146391127384597475e-02,3.754384775940348973e-02,1.814176587882869798e-02,-6.156621639588888417e-02,6.418350777659048711e-02,3.811343790727771824e-02,8.047292026791695585e-02,2.878098460506990364e-01,3.670756034601421747e-01
2.400000000000000050e-02,9.883920997518201856e-01,2.724123455539939620e-02,8.403809628129267281e-03,2.030585077834145755e-02,-6.160728604902370592e-02,6.486744383863526919e-02,8.602361219035174755e-03,8.581531347761915673e-02,2.440669359181867892e-01,3.278899781985769590e-01
2.500000000000000139e-02,9.865382701989703351e-01,4.568842910996262496e-02,2.535191603044134601e-02,2.037356844323352095e-02,-6.278173987309000614e-02,6.600476613551070626e-02,2.604851161707075896e-02,8.400000861742577818e-02,2.310301018881816271e-01,3.127685396670235041e-01
2.600000000000000228e-02,9.843246286760556352e-01,5.038785386548572109e-02,2.798142453576198813e-02,2.057310208313998731e-02,-6.130169887347863833e-02,6.466181882763545608e-02,2.887972924700810476e-02,8.352709304125792433e-02,2.647677698056160045e-01,3.456762264488111858e-01
