time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2,mean_particle_number_imag,variance_imag,factorial_second_moment_imag
0.000000000000000000e+00,1.000189481515619036e+03,-1.368256057146936655e+00,9.993766957657678286e+05,1.357452118029110366e+00,-1.002076118946923611e+00,1.687255997442429045e+00,9.989980765592014755e-01,-8.633835429466604205e-01,6.299452079721504560e+00,-1.719931440715208737e+03
1.000000000000000021e-03,9.991897919621876554e+02,-3.668319163843989372e-01,9.973799397957915207e+05,1.356773561623333846e+00,-1.001575206126090967e+00,1.686412580315560739e+00,9.989980765592012535e-01,-8.625205909516239222e-01,6.286003676597147205e+00,-1.716495015404563901e+03
2.000000000000000042e-03,9.981911015986313487e+02,6.315931869903579354e-01,9.953871733469043393e+05,1.356095344410954917e+00,-1.001074543699065345e+00,1.685569584791846598e+00,9.989980765592015866e-01,-8.616585014772503159e-01,6.272583005058095296e+00,-1.713065456076269584e+03
3.000000000000000062e-03,9.971934094262600183e+02,1.627026241621933877e+00,9.933983884480376728e+05,1.355417466222418987e+00,-1.000574131540680645e+00,1.684727010660536983e+00,9.989980765592013645e-01,-8.607972736614499798e-01,6.259190008836412744e+00,-1.709642749012083414e+03
4.000000000000000083e-03,9.961967144473810549e+02,2.619474223116412759e+00,9.914135771440492244e+05,1.354739926888256729e+00,-1.000073969525834050e+00,1.683884857710989058e+00,9.989980765592014755e-01,-8.599369066429949360e-01,6.245824631775576563e+00,-1.706226880521172916e+03
5.000000000000000104e-03,9.952010156652994510e+02,3.608944091247394681e+00,9.894327314956911141e+05,1.354062726239083192e+00,-9.995740575294849162e-01,1.683043125732664125e+00,9.989980765592014755e-01,-8.590773995615181846e-01,6.232486817833660098e+00,-1.702817836940059124e+03
6.000000000000000125e-03,9.942063120843167781e+02,4.595442790654487908e+00,9.874558435795786791e+05,1.353385864105598246e+00,-9.990743954266555482e-01,1.682201814515129401e+00,9.989980765592014755e-01,-8.582187515575128156e-01,6.219176511080831915e+00,-1.699415604632564282e+03
7.000000000000000146e-03,9.932126027097287988e+02,5.578977251891046762e+00,9.854829054881569464e+05,1.352709340318586362e+00,-9.985749830924302017e-01,1.681360923848057132e+00,9.989980765592015866e-01,-8.573609617723303433e-01,6.205893655699128431e+00,-1.696020169989753413e+03
8.000000000000000167e-03,9.922198865478264906e+02,6.559554389445111156e+00,9.835139093296710635e+05,1.352033154708916829e+00,-9.980758204019558599e-01,1.680520453521224589e+00,9.989980765592012535e-01,-8.565040293481811506e-01,6.192638195985182392e+00,-1.692631519429883838e+03
9.000000000000001055e-03,9.912281626058932034e+02,7.537181104999035597e+00,9.815488472281339345e+05,1.351357307107542871e+00,-9.975769072304416785e-01,1.679680403324514293e+00,9.989980765592015866e-01,-8.556479534281326016e-01,6.179410076344538538e+00,-1.689249639398348791e+03
1.000000000000000021e-02,9.902374298922052276e+02,8.511864283354952931e+00,9.795877113232945558e+05,1.350681797345502755e+00,-9.970782434531596516e-01,1.678840773047913570e+00,9.989980765592015866e-01,-8.547927331561089304e-01,6.166209241297792687e+00,-1.685874516367623983e+03
1.099999999999999936e-02,9.892476874160296347e+02,9.483610795461572707e+00,9.776304937706063502e+05,1.350006625253918902e+00,-9.965798289454437242e-01,1.678001562481514553e+00,9.989980765592014755e-01,-8.539383676768894649e-01,6.153035635475362142e+00,-1.682506136837212125e+03
